section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,1,148.2,4454.4,4306.2,1894.0
loopA 순환,3,628.2,4822.5,4194.3,1782.1
loopA 순환,5,1108.2,5536.0,4427.8,2015.6
loopA 순환,7,1588.2,5838.4,4250.2,1838.0
loopA 순환,9,2068.2,6431.9,4363.7,1951.5
loopA 순환,482,2548.2,6685.1,4136.9,1724.7
loopA 순환,1010,3030.7,7278.4,4247.7,1835.5
loopA 순환,1556,3508.2,7812.1,4303.9,1891.7
loopB 순환,2,312.3,4688.4,4376.1,1966.1
loopB 순환,4,792.3,5196.5,4404.2,1994.2
loopB 순환,6,1272.3,5477.9,4205.6,1795.6
loopB 순환,8,1752.3,5980.0,4227.7,1817.7
loopB 순환,101,2232.3,6310.2,4077.9,1667.9
loopB 순환,647,2712.3,6800.3,4088.0,1678.0
loopB 순환,1199,3192.3,7360.0,4167.7,1757.7
loopB 순환,1732,3672.3,7811.8,4139.5,1729.5
