section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,446.9,4725.5,4278.6,1866.4
loopA 순환,4,926.1,5278.3,4352.2,1940.0
loopA 순환,6,1410.0,5778.8,4368.8,1956.6
loopA 순환,8,1889.7,6275.1,4385.4,1973.2
loopA 순환,258,2366.1,6498.2,4132.1,1719.9
loopA 순환,815,2855.3,7126.3,4271.0,1858.8
loopA 순환,1324,3326.1,7524.2,4198.1,1785.9
loopB 순환,1,52.6,4355.3,4302.7,1892.7
loopB 순환,3,532.6,4772.7,4240.1,1830.1
loopB 순환,5,1012.6,5376.2,4363.6,1953.6
loopB 순환,7,1492.6,5622.3,4129.7,1719.7
loopB 순환,9,1972.6,6165.8,4193.2,1783.2
loopB 순환,349,2452.6,6670.0,4217.4,1807.4
loopB 순환,918,2932.6,7144.8,4212.2,1802.2
loopB 순환,1428,3412.6,7560.8,4148.2,1738.2
